email,reply,category
"Can we move tomorrow's meeting to Friday?","Sure, Friday works for me. I'll send an updated calendar invite.","scheduling"
"I won't be available tomorrow. Can we reschedule?","No problem. Please share a time that works for you.","scheduling"
"Could we postpone our discussion until next week?","Certainly. Let me know your availability for next week.","scheduling"
"Something urgent came up. Can we push the meeting back?","Of course. Please suggest an alternative time.","scheduling"
"Would it be possible to shift our call to Monday?","Monday works for me. I'll update the invite.","scheduling"
"I forgot my password and can't log in.","Please use the password reset link. Let us know if the issue persists.","support"
"My account appears to be locked.","We're sorry for the inconvenience. Our support team will assist you shortly.","support"
"The password reset email never arrived.","Please check your spam folder. If you still don't see it, we'll resend it.","support"
"I'm getting an error when trying to log in.","Could you share a screenshot of the error? We'll investigate immediately.","support"
"My subscription isn't showing up in my account.","We'll review your account details and get back to you shortly.","support"
"Do you offer enterprise pricing?","Yes, we offer enterprise plans. Our sales team can provide more details.","sales"
"I'd like to schedule a product demo.","Thank you for your interest. Please share your availability for a demo.","sales"
"Can you send me pricing information?","Certainly. I'll send our latest pricing details.","sales"
"Do you provide discounts for large teams?","Yes, volume discounts are available for larger teams.","sales"
"We are evaluating solutions for our company.","We'd be happy to discuss your requirements and arrange a consultation.","sales"
"Does your product integrate with Slack?","Yes, Slack integration is fully supported.","product"
"Do you support single sign-on (SSO)?","Yes, SSO is available on our business and enterprise plans.","product"
"Can your platform connect with Google Workspace?","Yes, Google Workspace integration is supported.","product"
"Do you have an API for custom integrations?","Yes, we provide a REST API for developers.","product"
"Is dark mode available?","Yes, dark mode is available in the latest version.","product"
"Just checking if there are any updates.","Thank you for following up. We'll provide an update soon.","follow-up"
"Following up on my previous email.","We appreciate your patience and will respond shortly.","follow-up"
"Have you had a chance to review my request?","We're currently reviewing it and will get back to you soon.","follow-up"
"I wanted to check the status of my ticket.","Your request is being processed. We'll update you shortly.","follow-up"
"Any progress on the issue I reported?","Our team is investigating the issue and will share an update soon.","follow-up"
I forgot my password and cannot log in.,Please use the password reset link on the login page. Let us know if the issue continues.,password_reset
I am unable to reset my password.,Thank you for contacting us. Please use the password recovery option and follow the instructions sent to your email.,password_reset
My password reset link has expired.,We apologize for the inconvenience. Please request a new password reset link and try again.,password_reset
I cannot access my account because I forgot my password.,Please use the Forgot Password option to create a new password and regain access to your account.,password_reset
The password recovery email never arrived.,Please check your spam folder. If you still cannot locate the email contact support for assistance.,password_reset
How do I change my password?,You can update your password from your account settings page after signing in.,password_reset
The reset link is not working.,Please request a new reset link and ensure you use it before it expires.,password_reset
I accidentally forgot my login credentials.,Please use the password recovery process to restore access to your account.,password_reset
